date,ticker,actual_price,fitted_price
2017-01-04,AMD,11.43,8.325309156227902
2017-01-05,AMD,11.24,8.336173110471364
2017-01-06,AMD,11.32,8.347051241425829
2017-01-09,AMD,11.49,8.379770879672167
2017-01-10,AMD,11.44,8.390705902708454
2017-01-11,AMD,11.2,8.401655195195604
2017-01-12,AMD,10.76,8.412618775754265
2017-01-13,AMD,10.58,8.423596663029372
2017-01-17,AMD,9.82,8.46765165304562
2017-01-18,AMD,9.88,8.478701354429914
2017-01-19,AMD,9.77,8.489765474912405
2017-01-20,AMD,9.75,8.500844033309038
2017-01-23,AMD,9.91,8.534166524511454
2017-01-24,AMD,10.44,8.54530302321541
2017-01-25,AMD,10.35,8.55645405428211
2017-01-26,AMD,10.52,8.567619636675223
2017-01-27,AMD,10.67,8.578799789383256
2017-01-30,AMD,10.61,8.612427859653561
2017-01-31,AMD,10.37,8.623666484002126
2017-02-01,AMD,12.06,8.63491977398031
2017-02-02,AMD,12.28,8.646187748725795
2017-02-03,AMD,12.24,8.657470427401114
2017-02-06,AMD,13.63,8.6914068790078
2017-02-07,AMD,13.29,8.702748565529324
2017-02-08,AMD,13.56,8.714105052169543
2017-02-09,AMD,13.42,8.725476358241558
2017-02-10,AMD,13.58,8.736862503083705
2017-02-13,AMD,13.49,8.771110163993018
2017-02-14,AMD,13.26,8.782555857804244
2017-02-15,AMD,13.3,8.79401648745647
2017-02-16,AMD,12.97,8.805492072439943
2017-02-17,AMD,13.13,8.816982632270365
2017-02-21,AMD,14.0,8.863095011266712
2017-02-22,AMD,14.28,8.874660738959353
2017-02-23,AMD,14.32,8.886241559128916
2017-02-24,AMD,14.12,8.897837491470058
2017-02-27,AMD,15.2,8.932716158855133
2017-02-28,AMD,14.46,8.944372737343516
2017-03-01,AMD,14.96,8.956044526862875
2017-03-02,AMD,13.9,8.967731547262543
2017-03-03,AMD,13.03,8.97943381841775
2017-03-06,AMD,13.04,9.014632335558456
2017-03-07,AMD,13.05,9.026395809007592
2017-03-08,AMD,13.22,9.038174632978272
2017-03-09,AMD,13.33,9.049968827501786
2017-03-10,AMD,13.91,9.061778412635729
2017-03-13,AMD,14.28,9.097299712667818
2017-03-14,AMD,14.1,9.10917106134244
2017-03-15,AMD,13.98,9.121057901308303
2017-03-16,AMD,13.65,9.132960252780475
2017-03-17,AMD,13.49,9.144878136000383
2017-03-20,AMD,14.4,9.18072517895753
2017-03-21,AMD,13.82,9.192705392111701
2017-03-22,AMD,14.1,9.204701238617767
2017-03-23,AMD,13.79,9.216712738876142
2017-03-24,AMD,13.7,9.22873991331394
2017-03-27,AMD,13.7,9.264915686374316
2017-03-28,AMD,13.69,9.277005762333975
2017-03-29,AMD,13.71,9.289111615008878
2017-03-30,AMD,14.05,9.30123326498657
2017-03-31,AMD,14.55,9.313370732881454
2017-04-03,AMD,14.64,9.349878250616781
2017-04-04,AMD,14.16,9.362079196862817
2017-04-05,AMD,14.17,9.374296064502193
2017-04-06,AMD,13.27,9.386528874311194
2017-04-07,AMD,13.52,9.398777647093318
2017-04-10,AMD,13.1,9.435619951719943
2017-04-11,AMD,13.1,9.447932784972224
2017-04-12,AMD,12.76,9.460261685622669
2017-04-13,AMD,12.31,9.472606674638124
2017-04-17,AMD,12.79,9.52214793464532
2017-04-18,AMD,12.95,9.53457368094739
